# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 215.1833452; 5.9504891; -0.7652235; -0.0000818; 40.8294656; 3.4877337
1.9987263; 216.5679771; 7.3919095; -0.7653899; -0.0000848; 40.9998453; 3.4708287
3.9974525; 217.9528542; 8.8330964; -0.7655623; -0.0000877; 41.1686991; 3.4534812
5.9961788; 219.3379862; 10.2740429; -0.7657406; -0.0000907; 41.3360244; 3.4062480
7.9949051; 220.7233754; 11.7147339; -0.7659250; -0.0000939; 41.5004003; 3.3900345
9.9936314; 222.1090367; 13.1551670; -0.7661158; -0.0000972; 41.6633500; 3.3733647
11.9923576; 223.4949806; 14.5953340; -0.7663134; -0.0001006; 41.8248681; 3.3284794
13.9910839; 224.8812085; 16.0352164; -0.7665181; -0.0001043; 41.9836282; 3.3129029
15.9898102; 226.2677392; 17.4748127; -0.7667303; -0.0001081; 42.1410513; 3.2968526
17.9885365; 227.6545847; 18.9141131; -0.7669504; -0.0001121; 42.2971301; 3.2541180
19.9872627; 229.0417455; 20.3530953; -0.7671787; -0.0001164; 42.4506231; 3.2391302
21.9859890; 230.4292444; 21.7917584; -0.7674156; -0.0001208; 42.6028599; 3.2236473
23.9847153; 231.8170951; 23.2300911; -0.7676616; -0.0001254; 42.7538308; 3.1828903
25.9834415; 233.2052976; 24.6680666; -0.7679171; -0.0001303; 42.9023717; 3.1684482
27.9821678; 234.5938789; 26.1056850; -0.7681826; -0.0001354; 43.0497296; 3.1534852
29.9808941; 235.9828547; 27.5429329; -0.7684586; -0.0001407; 43.1958925; 3.1145528
31.9796204; 237.3722244; 28.9797790; -0.7687456; -0.0001464; 43.3397670; 3.1006176
33.9783466; 238.7620197; 30.4162239; -0.7690440; -0.0001523; 43.4825250; 3.0861308
35.9770729; 240.1522584; 31.8522519; -0.7693545; -0.0001584; 43.6241520; 3.0488872
37.9757992; 241.5429397; 33.2878268; -0.7696777; -0.0001649; 43.7636198; 3.0354234
39.9745255; 242.9341003; 34.7229494; -0.7700140; -0.0001717; 43.9020316; 3.0213723
41.9732517; 244.3257605; 36.1576017; -0.7703642; -0.0001787; 44.0393707; 2.9856960
43.9719780; 245.7179192; 37.5917420; -0.7707290; -0.0001863; 44.1746687; 2.9726709
45.9707043; 247.1106188; 39.0253711; -0.7711090; -0.0001941; 44.3089659; 2.9590174
47.9694305; 248.5038825; 40.4584681; -0.7715049; -0.0002021; 44.4422433; 2.9247986
49.9681568; 249.8977092; 41.8909852; -0.7719176; -0.0002108; 44.5735879; 2.9121818
51.9668831; 251.2921476; 43.3229233; -0.7723477; -0.0002198; 44.7039824; 2.8988896
53.9656094; 252.6872238; 44.7542578; -0.7727963; -0.0002291; 44.8334052; 2.8660283
55.9643356; 254.0829373; 46.1849344; -0.7732641; -0.0002390; 44.9609946; 2.8537906
57.9630619; 255.4793436; 47.6149536; -0.7737520; -0.0002494; 45.0876804; 2.8408244
59.9617882; 256.8764725; 49.0442867; -0.7742612; -0.0002601; 45.2134381; 2.8092283
61.9605144; 258.2743238; 50.4728719; -0.7747925; -0.0002716; 45.3374541; 2.7973413
63.9592407; 259.6729616; 51.9007091; -0.7753471; -0.0002834; 45.4606091; 2.7846656
65.9579670; 261.0724188; 53.3277648; -0.7759255; -0.0002953; 45.5828756; 2.7542484
67.9566933; 262.4726952; 54.7539689; -0.7765298; -0.0003094; 45.7034848; 2.7426703
69.9554195; 263.8738667; 56.1793218; -0.7771585; -0.0003154; 45.8232716; 2.7302347
71.9541458; 265.2759463; 57.6038032; -0.7777862; -0.0003126; 45.9422050; 2.7008934
73.9528721; 266.6789183; 59.0273883; -0.7784326; -0.0003346; 46.0595582; 2.6896567
75.9515984; 268.0828544; 60.4500468; -0.7791249; -0.0003592; 46.1761267; 2.6774939
77.9503246; 269.4877801; 61.8716643; -0.7798698; -0.0003862; 46.2918765; 2.6492959
79.9490509; 270.8938444; 63.2922480; -0.7806589; -0.0004032; 46.4061231; 2.6383511
81.9477772; 272.3010310; 64.7116758; -0.7814821; -0.0004212; 46.5196189; 2.6264338
83.9465034; 273.7093692; 66.1298747; -0.7823436; -0.0004408; 46.6323277; 2.5992144
85.9452297; 275.1190423; 67.5469176; -0.7832452; -0.0004614; 46.7436009; 2.5885279
87.9439560; 276.5299778; 68.9626159; -0.7841883; -0.0004827; 46.8541540; 2.5768660
89.9426823; 277.9422183; 70.3768917; -0.7851753; -0.0005050; 46.9639505; 2.5504866
91.9414085; 279.3560090; 71.7898633; -0.7862085; -0.0005288; 47.0723708; 2.5400012
93.9401348; 280.7712281; 73.2012755; -0.7872897; -0.0005535; 47.1800978; 2.5285894
95.9388611; 282.1879324; 74.6110459; -0.7884216; -0.0005792; 47.2870970; 2.5028653
97.9375874; 283.6064246; 76.0193296; -0.7896067; -0.0006067; 47.3927698; 2.4925144
99.9363136; 285.0265410; 77.4258101; -0.7908473; -0.0006352; 47.4977719; 2.4813474
101.9350399; 286.4483534; 78.8303987; -0.7921465; -0.0006649; 47.6020735; 2.4560615
103.9337662; 287.8722167; 80.2332777; -0.7935072; -0.0006966; 47.7050877; 2.4457651
105.9324924; 289.2979344; 81.6340765; -0.7949319; -0.0007296; 47.8074495; 2.4348307
107.9312187; 290.7255933; 83.0326968; -0.7964242; -0.0007638; 47.9091363; 2.4097274
109.9299450; 292.1555943; 84.4293375; -0.7979875; -0.0008004; 48.0095627; 2.3993861
111.9286713; 293.5877196; 85.8235827; -0.7996247; -0.0008385; 48.1093499; 2.3886580
113.9273975; 295.0220703; 87.2153195; -0.8013400; -0.0008780; 48.2084857; 2.3634303
115.9261238; 296.4590860; 88.6047520; -0.8031373; -0.0009204; 48.3063743; 2.3529152
117.9248501; 297.8985408; 89.9914277; -0.8050201; -0.0009644; 48.4036307; 2.3422875
119.9235764; 299.3405516; 91.3752165; -0.8069931; -0.0010101; 48.5002541; 2.3166669
121.9223026; 300.7855833; 92.7563081; -0.8090612; -0.0010592; 48.5956316; 2.3057497
123.9210289; 302.2334214; 94.1342283; -0.8112282; -0.0011102; 48.6903742; 2.2947757
125.9197552; 303.6842065; 95.5088310; -0.8134998; -0.0011631; 48.7844831; 2.2690085
127.9184814; 305.1383925; 96.8802512; -0.8158814; -0.0012199; 48.8773572; 2.2571052
129.9172077; 306.5958177; 98.2480267; -0.8183776; -0.0012788; 48.9695693; 2.2455623
131.9159340; 308.0566408; 99.6119850; -0.8209943; -0.0013399; 49.0611378; 2.2193005
133.9146603; 309.5212874; 100.9721869; -0.8237371; -0.0014045; 49.1514679; 2.2060794
135.9133865; 310.9896648; 102.3281953; -0.8266101; -0.0014713; 49.2410956; 2.1937460
137.9121128; 312.4619500; 103.6798124; -0.8296190; -0.0015398; 49.3300607; 2.1667634
139.9108391; 313.9385203; 105.0270122; -0.8327661; -0.0016092; 49.4177744; 2.1520663
141.9095653; 315.4193578; 106.3694009; -0.8360560; -0.0016862; 49.5047392; 2.1389225
143.9082916; 316.9046554; 107.7067405; -0.8395089; -0.0017689; 49.5910218; 2.1116093
145.9070179; 318.3947340; 109.0388783; -0.8431242; -0.0018486; 49.6760556; 2.0956770
147.9057442; 319.8896714; 110.3654610; -0.8468864; -0.0019079; 49.7603042; 2.0821026
149.9044704; 321.3897253; 111.6863958; -0.8507450; -0.0019543; 49.8438660; 2.0555401
151.9031967; 322.8948839; 113.0014129; -0.8547115; -0.0020148; 49.9262246; 2.0396531
153.9019230; 324.4053444; 114.3103763; -0.8587949; -0.0020686; 50.0078126; 2.0268504
155.9006493; 325.9212370; 115.6131122; -0.8629788; -0.0021168; 50.0887568; 2.0032466
157.8993755; 327.4425756; 116.9093850; -0.8672484; -0.0021556; 50.1686301; 1.9888902
159.8981018; 328.9694968; 118.1991039; -0.8715907; -0.0021864; 50.2478053; 1.9780060
161.8968281; 330.5020737; 119.4821669; -0.8759866; -0.0022107; 50.3264237; 1.9588847
163.8955543; 332.0402589; 120.7584144; -0.8804183; -0.0022239; 50.4041612; 1.9471289
165.8942806; 333.5841086; 122.0278208; -0.8848713; -0.0022291; 50.4813136; 1.9387808
167.8930069; 335.1336285; 123.2903610; -0.8893272; -0.0022282; 50.5580183; 1.9244036
169.8917332; 336.6887192; 124.5459643; -0.8937703; -0.0022177; 50.6340392; 1.9152794
171.8904594; 338.2493639; 125.7946673; -0.8981884; -0.0022011; 50.7095865; 1.9091937
173.8891857; 339.8155108; 127.0365114; -0.9025680; -0.0021802; 50.7847819; 1.8984578
175.8879120; 341.3870283; 128.2715021; -0.9068987; -0.0021533; 50.8594442; 1.8910213
177.8866383; 342.9638481; 129.4997202; -0.9111737; -0.0021233; 50.9337053; 1.8862704
179.8853645; 344.5458832; 130.7212485; -0.9153861; -0.0020914; 51.0076721; 1.8774353
181.8840908; 346.1329944; 131.9361413; -0.9195326; -0.0020577; 51.0811861; 1.8704370
183.8828171; 347.7250895; 133.1444973; -0.9236116; -0.0020239; 51.1543209; 1.8660228
185.8815433; 349.3220700; 134.3464108; -0.9276231; -0.0019905; 51.2271792; 1.8575881
187.8802696; 350.9238110; 135.5419540; -0.9315697; -0.0019586; 51.2996054; 1.8500057
189.8789959; 352.5302218; 136.7312179; -0.9354544; -0.0019292; 51.3716344; 1.8452119
191.8777222; 354.1412101; 137.9142812; -0.9392823; -0.0019020; 51.4433763; 1.8362580
193.8764484; 355.7566814; 139.0912079; -0.9430603; -0.0018785; 51.5146709; 1.8274416
195.8751747; 357.3765642; 140.2620620; -0.9467945; -0.0018593; 51.5855254; 1.8218571
197.8739010; 359.0007838; 141.4268858; -0.9504936; -0.0018433; 51.6560666; 1.8119171
199.8726273; 360.6292855; 142.5857162; -0.9541671; -0.0018326; 51.7261276; 1.8014474
201.8713535; 362.2620288; 143.7385770; -0.9578234; -0.0018274; 51.7956897; 1.7948283
203.8700798; 363.8989618; 144.8854592; -0.9614731; -0.0018261; 51.8649035; 1.7836546
205.8688061; 365.5400739; 146.0263592; -0.9651275; -0.0018307; 51.9335950; 1.7712191
207.8675323; 367.1853640; 147.1612538; -0.9687958; -0.0018412; 52.0017178; 1.7634179
209.8662586; 368.8348002; 148.2900723; -0.9724889; -0.0018557; 52.0694520; 1.7509229
211.8649849; 370.4884169; 149.4127662; -0.9762179; -0.0018757; 52.1366192; 1.7364204
213.8637112; 372.1462590; 150.5292686; -0.9799918; -0.0019018; 52.2031447; 1.7275213
215.8624374; 373.8082919; 151.6394332; -0.9838224; -0.0019355; 52.2692453; 1.7140291
217.8611637; 375.4746175; 152.7431612; -0.9877386; -0.0019831; 52.3347471; 1.6979302
219.8598900; 377.1452736; 153.8402678; -0.9917303; -0.0020064; 52.3995530; 1.6883943
221.8586162; 378.8203386; 154.9306809; -0.9957584; -0.0020268; 52.4639155; 1.6746774
223.8573425; 380.4998336; 156.0143137; -0.9998378; -0.0020552; 52.5276772; 1.6584560
225.8560688; 382.1837152; 157.0910068; -1.0039728; -0.0020822; 52.5907451; 1.6496093
227.8547951; 383.8721126; 158.1607143; -1.0081602; -0.0021059; 52.6534016; 1.6376262
229.8535213; 385.5650045; 159.2233123; -1.0123870; -0.0021236; 52.7155294; 1.6241657
231.8522476; 387.2623193; 160.2786762; -1.0166403; -0.0021308; 52.7770742; 1.6178594
233.8509739; 388.9641796; 161.3268432; -1.0209026; -0.0021304; 52.8383088; 1.6098565
235.8497002; 390.6704983; 162.3677638; -1.0251498; -0.0021195; 52.8991702; 1.6022500
237.8484264; 392.3811194; 163.4014007; -1.0293608; -0.0020919; 52.9596745; 1.6000401
239.8471527; 394.0961244; 164.4279233; -1.0335088; -0.0020535; 53.0200265; 1.5975783
241.8458790; 395.8153456; 165.4474128; -1.0375607; -0.0020009; 53.0802171; 1.5973279
243.8446052; 397.5385204; 166.4599662; -1.0414890; -0.0019272; 53.1403302; 1.5993266
245.8433315; 399.2656684; 167.4659257; -1.0452606; -0.0018407; 53.2004504; 1.6019828
247.8420578; 400.9965304; 168.4655430; -1.0488372; -0.0017382; 53.2606025; 1.6072519
249.8407841; 402.7307302; 169.4590827; -1.0521895; -0.0016137; 53.3208842; 1.6114061
251.8395103; 404.4682179; 170.4470774; -1.0552843; -0.0014777; 53.3812533; 1.6162044
253.8382366; 406.2086476; 171.4299578; -1.0580882; -0.0013279; 53.4417338; 1.3686575
255.8369629; 407.9515465; 172.4081490; -1.0605803; -0.0011645; 53.4928972; 0.9021778
257.8356892; 409.6968141; 173.3823349; -1.0627430; -0.0009997; 53.5265959; 0.2329081
259.8344154; 411.4440629; 174.3530527; -1.0645768; -0.0008353; 53.5352921; -1.3246436
261.8331417; 413.1927967; 175.3207696; -1.0660951; -0.0006855; 53.4858140; -2.3680148
263.8318680; 414.9429534; 176.2861426; -1.0673213; -0.0005473; 53.3972497; -3.6527263
265.8305942; 416.6942089; 177.2496209; -1.0682915; -0.0004236; 53.2603481; -5.8064000
267.8293205; 418.4461440; 178.2115268; -1.0690361; -0.0003238; 53.0420010; -6.9979595
269.8280468; 420.1988008; 179.1723519; -1.0695904; -0.0002368; 52.7776454; -8.3928868
271.8267731; 421.9519587; 180.1323688; -1.0699917; -0.0001647; 52.4588381; -10.3931400
273.8254993; 423.7052938; 181.0917198; -1.0702673; -0.0001129; 52.0613446; -11.2908782
275.8242256; 425.4589449; 182.0507286; -1.0704463; -0.0000706; 51.6260482; -12.2958880
277.8229519; 427.2127778; 183.0095124; -1.0705558; -0.0000390; 51.1477920; -13.3424089
279.8216782; 428.9665464; 183.9680745; -1.0706153; -0.0000218; 50.6237195; -13.4907481
281.8204044; 430.7204545; 184.9266130; -1.0706447; -0.0000098; 50.0882457; -13.5938659
283.8191307; 432.4744256; 185.8851402; -1.0706574; -0.0000030; 49.5428251; -13.5316443
285.8178570; 434.2282652; 186.8435797; -1.0706597; 0.0000004; 48.9938712; -13.4303023
287.8165832; 435.9821980; 187.8020717; -1.0706564; 0.0000020; 48.4428779; -13.3365855
289.8153095; 437.7361684; 188.7605930; -1.0706529; 0.0000015; 47.8894566; -13.2783472
291.8140358; 439.4900037; 189.7190471; -1.0706505; 0.0000009; 47.3320239; -13.1771418
293.8127621; 441.2439294; 190.6775548; -1.0706493; 0.0000003; 46.7722727; -13.0846358
295.8114883; 442.9978909; 191.6360834; -1.0706493; -0.0000003; 46.2097423; -13.0305745
297.8102146; 444.7517304; 192.5945445; -1.0706500; -0.0000004; 45.6426465; -12.9293559
299.8089409; 446.5056555; 193.5530505; -1.0706508; -0.0000004; 45.0729042; -12.8382764
301.8076672; 448.2596136; 194.5115726; -1.0706516; -0.0000003; 44.4999583; -12.7883533
303.8063934; 450.0134585; 195.4700313; -1.0706523; -0.0000003; 43.9218107; -12.6868222
305.8051197; 451.7673841; 196.4285325; -1.0706529; -0.0000004; 43.3406332; -12.5972999
307.8038460; 453.5213412; 197.3870493; -1.0706538; -0.0000005; 42.7557408; -12.5514331
309.8025722; 455.2751869; 198.3455031; -1.0706548; -0.0000006; 42.1649098; -12.4492307
311.8012985; 457.0291144; 199.3039987; -1.0706563; -0.0000008; 41.5705955; -12.3614553
313.8000248; 458.7830750; 200.2625089; -1.0706580; -0.0000009; 40.9719426; -12.3195476
315.7987511; 460.5369181; 201.2209504; -1.0706602; -0.0000013; 40.3664870; -12.2162359
317.7974773; 462.2908520; 202.1794357; -1.0706631; -0.0000014; 39.7570050; -12.1304906
319.7962036; 464.0448227; 203.1379350; -1.0706653; -0.0000009; 39.1424116; -12.0924174
321.7949299; 465.7986591; 204.0963552; -1.0706693; -0.0000034; 38.5199886; -11.9869816
323.7936561; 467.5526076; 205.0548215; -1.0706770; -0.0000006; 37.8929034; -11.9029453
325.7923824; 469.3065927; 206.0133079; -1.0706656; 0.0000120; 37.2597728; -11.8327998
327.7911087; 471.0603858; 206.9717603; -1.0706042; 0.0000534; 36.6195251; -11.6898633
329.7898350; 472.8142110; 207.9304747; -1.0704464; 0.0001139; 35.9758244; -11.5568882
331.7885612; 474.5678469; 208.8896124; -1.0701320; 0.0002007; 35.3279186; -11.4180073
333.7872875; 476.3209024; 209.8493694; -1.0696088; 0.0003291; 34.6759122; -11.2378742
335.7860138; 478.0734958; 210.8103736; -1.0688100; 0.0004808; 34.0219932; -11.0622458
337.7847401; 479.8251753; 211.7730778; -1.0676663; 0.0006635; 33.3657791; -10.8818494
339.7834663; 481.5753748; 212.7380117; -1.0661278; 0.0008821; 32.7074233; -10.6822977
341.7821926; 483.3240688; 213.7061407; -1.0641349; 0.0011211; 32.0479884; -10.4861718
343.7809189; 485.0705692; 214.6781845; -1.0616272; 0.0013881; 31.3871883; -10.2864496
345.7796451; 486.8141790; 215.6549831; -1.0585573; 0.0016909; 30.7251687; -10.0751450
347.7783714; 488.5546910; 216.6377905; -1.0548619; 0.0020177; 30.0626193; -9.8639486
349.7770977; 490.2911652; 217.6275891; -1.0504652; 0.0023816; 29.3994968; -9.6400833
351.7758240; 492.0227521; 218.6255769; -1.0453008; 0.0027980; 28.7366428; -9.4108285
353.7745502; 493.7489443; 219.6333588; -1.0392715; 0.0032519; 28.0744599; -9.1689450
355.7732765; 495.4684457; 220.6523047; -1.0322539; 0.0037700; 27.4139175; -8.8985461
357.7720028; 497.1800926; 221.6841377; -1.0241383; 0.0043722; 26.7572674; -8.6363795
359.7707291; 498.8828637; 222.7310183; -1.0147607; 0.0050428; 26.1041729; -8.3285183
361.7694553; 500.5748507; 223.7949805; -1.0038736; 0.0058515; 25.4584953; -7.9787564
363.7681816; 502.2543490; 224.8787410; -0.9913041; 0.0067518; 24.8241875; -7.6662499
365.7669079; 503.9190424; 225.9850575; -0.9768592; 0.0077314; 24.1990664; -7.2465221
367.7656341; 505.5663495; 227.1169785; -0.9602803; 0.0088581; 23.5929478; -6.8107199
369.7643604; 507.1932672; 228.2778762; -0.9413487; 0.0101340; 23.0087300; -6.4537325
371.7630867; 508.7962902; 229.4714539; -0.9197481; 0.0114963; 22.4411044; -5.9363635
373.7618130; 510.3713666; 230.7015149; -0.8953272; 0.0129375; 21.9060000; -5.5186742
375.7605392; 511.9138739; 231.9717000; -0.8680004; 0.0144450; 21.3965464; -5.1970453
377.7592655; 513.4197261; 233.2864523; -0.8375830; 0.0159446; 20.9054360; -4.7749307
379.7579918; 514.8821017; 234.6475047; -0.8045763; 0.0170837; 20.4438180; -4.5313763
381.7567181; 516.2956487; 236.0560192; -0.7694657; 0.0180409; 19.9958929; -4.3313599
383.7554443; 517.6620174; 237.5192135; -0.7327365; 0.0186847; 19.5581525; -4.0989828
385.7541706; 518.9663043; 239.0264191; -0.6932038; 0.0209609; 19.1346764; -3.9461191
387.7528969; 520.2109805; 240.5925239; -0.6492740; 0.0227628; 18.7179437; -3.7960519
389.7516231; 521.3839550; 242.2150454; -0.6020642; 0.0244590; 18.3081096; -3.6501735
391.7503494; 522.4746035; 243.8899852; -0.5519214; 0.0256985; 17.9051803; -3.5473909
393.7490757; 523.4788061; 245.6208245; -0.4990348; 0.0271039; 17.5047124; -3.4330046
395.7478020; 524.3867683; 247.4017691; -0.4433899; 0.0286704; 17.1082344; -3.2326877
397.7465282; 525.1929803; 249.2352438; -0.3850626; 0.0291363; 16.7263017; -3.0811786
399.7452545; 525.8884820; 251.1058444; -0.3268433; 0.0291214; 16.3539690; -2.8226097
401.7439808; 526.4772700; 253.0244989; -0.2686480; 0.0291694; 16.0052820; -2.7036306
403.7427070; 526.9549546; 254.9884775; -0.2076130; 0.0319996; 15.6640167; -2.4278324
405.7414333; 527.2975014; 256.9449491; -0.1359679; 0.0403507; 15.3511001; -1.4441102
407.7401596; 527.4848445; 258.9246903; -0.0510678; 0.0454033; 15.1619099; -1.2235617
409.7388859; 527.4923371; 260.9194225; 0.0435169; 0.0445000; 14.9997460; -0.1330511
411.7376121; 527.3244764; 262.8959972; 0.1245870; 0.0386453; 14.9820064; 0.3541997
413.7363384; 527.0018968; 264.8766976; 0.1972995; 0.0359550; 15.0291854; 0.3932083
415.7350647; 526.5371322; 266.8193762; 0.2729677; 0.0375876; 15.0813873; 0.3109037
417.7337910; 525.9354542; 268.6982126; 0.3482256; 0.0394900; 15.1225351; 0.2323558
419.7325172; 525.1896628; 270.5303033; 0.4254617; 0.0402430; 15.1532141; 0.8449286
421.7312435; 524.2900268; 272.3190762; 0.5059087; 0.0385976; 15.2642543; 1.5806784
423.7299698; 523.2420028; 274.0517763; 0.5811640; 0.0355186; 15.4698464; 2.2032021
425.7286960; 522.0942686; 275.6770040; 0.6472535; 0.0314719; 15.7519314; 1.9558701
427.7274223; 520.8365607; 277.2385828; 0.7079899; 0.0291452; 15.9981824; 1.8146293
429.7261486; 519.4848734; 278.7280534; 0.7656967; 0.0283869; 16.2233084; 1.6274927
431.7248749; 518.0597327; 280.1308568; 0.8202059; 0.0263116; 16.4225930; 1.6768735
433.7236011; 516.5611796; 281.4574945; 0.8720451; 0.0260146; 16.6254258; 1.7320025
435.7223274; 515.0000108; 282.7008205; 0.9246868; 0.0267111; 16.8323611; 1.9723597
437.7210537; 513.3713760; 283.8626446; 0.9771579; 0.0255078; 17.0649581; 2.1308501
439.7197800; 511.6887012; 284.9379987; 1.0266326; 0.0240323; 17.3127342; 2.3969779
441.7185062; 509.9552540; 285.9320339; 1.0731091; 0.0224645; 17.5872844; 2.6806650
443.7172325; 508.1782140; 286.8476767; 1.1163515; 0.0207731; 17.8893377; 2.8693944
445.7159588; 506.3663036; 287.6880561; 1.1561083; 0.0190506; 18.2071050; 3.1620047
447.7146850; 504.5221510; 288.4594885; 1.1925483; 0.0173991; 18.5509740; 3.3800399
449.7134113; 502.6525215; 289.1662176; 1.2257176; 0.0158222; 18.9116415; 3.5558100
451.7121376; 500.7624328; 289.8131663; 1.2557938; 0.0143010; 19.2837850; 3.8066152
453.7108639; 498.8531996; 290.4061968; 1.2830127; 0.0129252; 19.6743775; 3.9705609
455.7095901; 496.9297717; 290.9495470; 1.3075209; 0.0116414; 20.0736957; 4.1226394
457.7083164; 494.9949665; 291.4478103; 1.3295683; 0.0104329; 20.4800711; 4.3150066
459.7070427; 493.0487981; 291.9058475; 1.3493818; 0.0093855; 20.8969459; 4.4398200
